season;Date;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
20/21;Aug 4, 20;Ferran Torres;20;45000000;Valencia;Manchester City;33500000
20/21;Sep 23, 20;Nelson Semedo;26;40000000;FC Barcelona;Wolves;32000000
20/21;Aug 3, 20;Trincao;20;16000000;SC Braga;FC Barcelona;31000000
20/21;Sep 8, 20;Yannick Carrasco;27;22500000;DL Pro;Atletico De Madrid;27000000
20/21;Sep 8, 20;Patrik Schick;24;25000000;AS Roma;B. Leverkusen;26500000
20/21;Sep 1, 20;Gabriel Magalhaes;22;20000000;LOSC Lille;Arsenal;26000000
20/21;Jan 28, 21;Nicolo Rovella;19;4000000;Genoa;Juventus;26000000
20/21;Jul 1, 20;Emre Can;26;24000000;Juventus;Bor. Dortmund;25000000
21/22;Aug 5, 21;Jack Grealish;25;65000000;Aston Villa;Manchester City;117500000
21/22;Jan 28, 22;Dusan Vlahovic;22;70000000;Fiorentina;Juventus;81600000
21/22;Jul 6, 21;Achraf Hakimi;22;60000000;Inter;Paris Saint-Germain;68000000
21/22;Jul 30, 21;Ben White;23;28000000;Brighton;Arsenal;58500000
21/22;Jan 1, 22;Ferran Torres;21;45000000;Manchester City;FC Barcelona;55000000
21/22;Jan 30, 22;Luis Diaz;25;40000000;FC Porto;Liverpool;47000000
21/22;Aug 17, 21;Tammy Abraham;23;38000000;Chelsea;AS Roma;40000000
21/22;Aug 20, 21;Martin Odegaard;22;40000000;Real Madrid;Arsenal;35000000
21/22;Jul 12, 21;Rodrigo de Paul;27;38000000;Udinese Calcio;Atletico De Madrid;35000000
21/22;Jul 1, 21;Fikayo Tomori;23;28000000;Chelsea;AC Milan;31600000
21/22;Jan 1, 23;Matheus Cunha;22;30000000;Hertha BSC;Atletico De Madrid;30000000
21/22;Aug 13, 21;Joe Willock;21;16000000;Arsenal;Newcastle;29400000
21/22;Aug 20, 21;Aaron Ramsdale;23;12000000;Sheff Utd;Arsenal;28000000
21/22;Jul 1, 21;Marash Kumbulla;21;25000000;Hellas Verona;AS Roma;26500000
21/22;Aug 31, 21;Emerson Royal;22;25000000;FC Barcelona;Tottenham;25000000
22/23;Jul 19, 22;Matthijs de Ligt;22;70000000;Juventus;Bayern Munich;67000000
22/23;Jul 1, 22;Erling Haaland;21;150000000;Bor. Dortmund;Manchester City;60000000
22/23;Jul 13, 22;Raphinha;25;45000000;Leeds;FC Barcelona;58000000
22/23;Jul 13, 22;Raheem Sterling;27;70000000;Manchester City;Chelsea;56200000
22/23;Jul 4, 22;Gabriel Jesus;25;50000000;Manchester City;Arsenal;52200000
22/23;Jul 28, 22;Jules Kounde;23;60000000;Sevilla FC;FC Barcelona;50000000
22/23;Jul 4, 22;Kalvin Phillips;26;50000000;Leeds;Manchester City;49000000
22/23;Jul 19, 22;Robert Lewandowski;33;45000000;Bayern Munich;FC Barcelona;45000000
22/23;Jul 1, 22;Federico Chiesa;24;65000000;Fiorentina;Juventus;42500000
22/23;Jul 1, 22;Vitinha;22;30000000;FC Porto;Paris Saint-Germain;41500000
22/23;Jul 20, 22;Bremer;25;35000000;Torino;Juventus;41000000
22/23;Jul 1, 22;Nuno Mendes;20;40000000;Sporting CP;Paris Saint-Germain;38000000
22/23;Jul 16, 22;Kalidou Koulibaly;31;35000000;Napoli;Chelsea;38000000
22/23;Jul 1, 22;Fabio Vieira;22;25000000;FC Porto;Arsenal;35000000
22/23;Jul 22, 22;Oleksandr Zinchenko;25;25000000;Manchester City;Arsenal;35000000
22/23;Aug 2, 22;Charles De Ketelaere;21;30000000;Club Brugge;AC Milan;32000000
22/23;Jan 23, 23;Jakub Kiwior;22;8000000;Spezia Calcio;Arsenal;25000000
